AccountNumber,MasterCustomerDetailsFlag,PrimaryAccountHolderFlag,Title,FirstName,MiddleInitial,LastName,NameSuffix,BusinessName,StreetAddress1,StreetAddress2,StreetAddress3,City,State,ZipCodePre,ZipCodeSuffix,DateOfBirth,DeathDate,PhoneNumber,EmailAddress,SSN,CommunicationPreference,Income,EmployerName,EmploymentDate,MemberStartDate,RelationshipCode,RaddonSegment,County,Region,Branch,CheckingFlag,CDFlag,MoneyMarketFlag,AutoLoanFlag,CreditCardFlag,PLFlag,HELOCFlag,HomeEquityLoanFlag,FirstMortgageFlag,StudentLoanFlag,OnlineBankingFlag,BillPayFlag,DebitCardFlag,NegShareWarning,BankruptcyWarning,DQWarning,BadAddressWarning,BadEmailWarning,ExcessiveFeesWarning,CreditScore1,CreditScoreDate1,CreditScore2,CreditScoreDate2,CreditScore3,CreditScoreDate3,CreditScore4,CreditScoreDate4,ProductAccountNumber,ProductType,Description,MonthlyPayment,DateOpened,Rate,TermType,TermInMonths,OriginalBalance,CurrentBalance,CCLimit,FlexFlag1,FlexFlag2,FlexFlag3,FlexFlag4,FlexFlag5,FlexFlag6,FlexFlag7,FlexFlag8,FlexFlag9,FlexFlag10,FlexChar1,FlexChar2,FlexChar3,FlexChar4,FlexNum1,FlexNum2,FlexNum3,FlexNum4,FlexDate1,FlexDate2,FlexDate3,FlexDate4,FlexMoney1,FlexMoney2,FlexMoney3,FlexMoney4,FlexRate1,FlexRate2,FlexRate3,FlexRate4
101933,1,1,Mrs.,Hyatt,X,Singleton,,& Dry,Ap #745-6976 Cmplt Avenue,"P.O. Box 331, 258 Pacific St.","P.O. Box 397, 6079 Town St.",Guildford,AZ,73865,6302,4/14/1956,3/7/2012,,C.Esq.Savage@OfAutomationProducts.net,212944047,email,217787,Esq All,10,8/15/1955,70,Upscale,Esq,Gr,Fifth Ave.,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101934,1,1,,Stephen,L,Ingram,III,Dennis N,240-2956 Essc Av.,9398 Inc Street,1263 Esq Rd.,Tuscaloosa,MS,56140,181,7/9/1953,4/26/2013,,8@EsqDe.org,213000284,email,124480,James P,36,10/1/2005,53,Middle Income Depositor,Inc,Beymers,Fifth Ave.,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
101935,1,1,Miss,Lars,G,Walter,III,W Esq,"P.O. Box 651, 3053 Apartment Rd.",Ap #855-9000 Wire Ave,Ap #134-1386 Cpa Rd.,Aurora,NV,80896,8325,8/30/1951,8/17/2012,,Esq@Music.org,213056521,email,78207,K Jr,45,8/19/2001,74,Middle Income Depositor,Playman,Printers,Fifth Ave.,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101936,1,1,Mrs.,Quentin,R,Collins,,Office Williams,Ap #494-3436 Erie Ave,1456 First Av.,"P.O. Box 681, 8760 Cablevision Street",Dingwall,OR,6255,2123,3/6/1979,12/26/2012,,Machinery.Repair@AlsMotorsInc.edu,213112758,email,179328,N All,46,11/30/2011,25,Upscale,&,Hotel,Fifth Ave.,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
101937,1,1,Mr.,Nehru,G,Franco,,Engineering Inc,Ap #226-9499 Wenick Rd.,"P.O. Box 420, 3531 Mining Avenue",1574 Action Street,Penicuik,MA,58950,7531,1/6/2010,6/2/2013,,Wlpaper.Str@BoykinManagementCo.ca,213168995,email,160543,Inc Larry,5,12/19/1983,11,Upscale,Urso,Florist,Fifth Ave.,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101938,1,1,Mr.,Dieter,U,Hewitt,Jr.,Kpmg Peat,Ap #970-6445 Esq St.,6541 & St.,6877 Robert St.,Llangollen,PA,55653,9646,12/17/1979,4/29/2013,,Sell@Stop.edu,213225232,email,31121,Print Calibron,46,10/20/1958,95,Low Income Depositor,Chevy,Beymers,Fifth Ave.,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101939,1,1,,Elvis,S,Mcbride,,Storage Recycle,7213 Burke Street,900 Schechter Rd.,Ap #665-5473 Pepper Road,Niel-bij-As,IN,74992,7593,2/13/2004,8/8/2012,,Inc.Kpff@CntyBrown&.com,213281469,email,239726,C Esq,36,8/17/2004,54,Upscale,Wrigley,Andrew,Fifth Ave.,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101940,1,1,Miss,Walker,M,Noble,III,Drugs Inc,888 & Ave,"P.O. Box 224, 4112 Oil Street",922-4602 Atty Av.,Conwy,MD,59319,4781,12/1/2022,6/21/2013,,Jr@&.net,213337706,email,152004,Pamela E,35,4/15/1957,61,Upscale,Esq,Hill,Fifth Ave.,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101941,1,1,Ms.,Ryan,Q,Hubbard,,Corporation Good,"P.O. Box 678, 768 & St.",Ap #543-2362 C Rd.,"P.O. Box 916, 7150 Inc Rd.",Lowell,NJ,1200,6292,2/20/2014,4/2/2012,,Ortman.Mccain@CEsq.edu,213393943,email,228888,Comfort Inn,42,11/19/2001,1,Upscale,&,Spears,Fifth Ave.,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
101942,1,1,Mr.,Callum,P,Horn,III,E Henderson,Ap #575-4166 H St.,Ap #198-6182 Shamash St.,662-815 Of Rd.,Milton Keynes,VA,66839,9865,3/21/2019,11/7/2012,,Co.Scisci.Pasquale@Associates.co.uk,213450180,email,117842,Jr Edwards,46,7/24/1984,85,Credit Driven,O,Quik,Fifth Ave.,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
101943,1,1,Ms.,Jasper,K,Underwood,II,Thomas E,Ap #541-3911 H Road,Ap #391-1480 Office St.,2460 Sec St.,Whitehorse ,MT,98410,7683,12/8/2009,5/21/2013,,M@MotelLoew.net,213506417,email,245252,S Esq,49,12/11/1958,77,Upscale,B,Younghans,Fifth Ave.,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101944,1,1,Miss,Malcolm,U,Frederick,III,Inc Stone,"P.O. Box 817, 1269 Tile Rd.",2960 Catholic Rd.,2183 Katherine Rd.,Warminster,VT,8264,7653,12/15/1945,4/9/2012,,Cheese@BEsq.org,213562654,email,7418,Mcivor Carolyn,22,4/15/1986,28,Low Income Depositor,X,Monterey,Fifth Ave.,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101945,1,1,Ms.,Quinlan,R,Andrews,II,Star Systems,"P.O. Box 505, 3605 Blvd Avenue",4106 James Rd.,4155 Constantino Road,Montague,AK,35835,6599,11/25/1959,10/11/2012,,Manpower.Temporary.Services@SpearsRobert.com,213618891,email,62657,Jackson &,23,11/30/1999,10,Middle Market,Farmer,Madden,Fifth Ave.,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
101946,1,1,Miss,Keane,K,Frederick,II,J Beymers,Ap #248-3392 Management Rd.,Ap #702-5452 William Ave,"P.O. Box 942, 8081 Killbride St.",Solihull,MA,26225,9675,8/1/1959,2/4/2012,,I.Computer@HMidwest.net,213675128,email,153971,Hirt Stanley,41,5/12/1971,12,Upscale,Fox,&,Fifth Ave.,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101947,1,1,,Baxter,Z,Church,Jr.,Mortgage Corp,Ap #933-6110 Safety Ave,7236 Dowse Ave,6405 Goodwill St.,Watford,MT,51646,6484,5/9/1993,11/1/2011,,Museum.Rcf.Inc@RealEstateKirschbaum.edu,213731365,email,232498,Mitchell De,5,1/19/2011,78,Upscale,Daniel,Cert,Fifth Ave.,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101948,1,1,,Eaton,A,Lloyd,Sr.,Days Inn,"P.O. Box 227, 6742 Assocs Av.",2966 L Road,"P.O. Box 855, 3758 Undercar Avenue",Brentwood,CO,4452,5535,8/24/1985,7/17/2013,,C@AmKintechStamping.ca,213787602,email,197813,Osach Ronald,19,5/6/1970,59,Upscale,Wbnd,Agent,Fifth Ave.,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
101949,1,1,,Kieran,H,Rich,Sr.,R Contractors,"P.O. Box 174, 9620 Development Avenue",945-9866 & Road,"P.O. Box 539, 6971 Selig Street",Harlingen,LA,24378,3614,3/3/1993,8/31/2012,,Mrbl.Co@JdEdwards.net,213843839,email,190148,A B,34,11/21/1982,72,Upscale,Esq,Taxi,Fifth Ave.,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101950,1,1,Mrs.,Palmer,G,Salinas,III,Alternatives Inc,"P.O. Box 198, 855 & Ave",4520 Quick Rd.,"P.O. Box 913, 8302 W Rd.",Vollezele,TN,79835,1857,4/30/1966,10/28/2011,,Rascher.&@Cola.ca,213900076,email,33831,Nursing Home,43,5/14/2007,27,Low Income Depositor,Esq,Independence,Fifth Ave.,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101951,1,1,Mr.,Bert,K,Mathews,,Lindsays Landing,912-8435 Printers Road,"P.O. Box 611, 7253 8 Avenue","P.O. Box 502, 8561 Pacific St.",Port Augusta,ID,14420,7478,5/28/1968,1/15/2013,,Village.The@MotorsPorter.com,213956313,email,10220,Appraisal Inc,4,7/9/1962,72,Fee Driven,Super,Esq,Fifth Ave.,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,
101952,1,1,Miss,Tobias,U,Glover,Sr.,I Computer,683-8294 Fed Ave,Ap #219-5507 & Street,"P.O. Box 169, 4748 Canning Ave",Dunstable,TN,6570,5022,4/18/1988,6/28/2013,,D.Esq@State.com,214012550,email,241470,Dillon Measurement,47,1/31/1996,11,Upscale,Walls,Arizona,Fifth Ave.,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101953,1,1,Mrs.,Coby,Z,Gilliam,Sr.,Lifestyles Organization,Ap #680-4522 First Ave,8413 & Ave,Ap #990-3395 Dvm Rd.,Northampton,MA,61426,3736,11/19/1974,1/17/2013,,Machine@Guillot.ca,214068787,email,96478,Associates Inc,43,11/30/2011,53,Middle Income Depositor,Bucks,A,Fifth Ave.,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
101954,1,1,Mrs.,Tanek,W,Marsh,Sr.,Port Brownsville,470-3848 The Ave,4752 Bank Ave,Ap #685-503 Inc St.,Hawick,WY,26219,7377,2/26/2016,9/22/2011,,Thomas@Filter.co.uk,214125024,email,201161,Ramada Inn,30,10/13/2002,76,Upscale,Manpower,Esq,Fifth Ave.,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
101955,1,1,,Mason,X,Bartlett,II,Equipment Co,7869 Regan Av.,Ap #553-941 Patrick Avenue,409-3173 Currier Av.,Porthmadog,KS,29325,4800,11/20/1965,8/16/2011,,Esq.P@GemTecInc.com,214181261,email,181136,Tweel Ronald,5,3/19/1995,83,Upscale,&,Founders,Fifth Ave.,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
101956,1,1,Mrs.,Jackson,G,Hickman,III,Swanson Victoria,"P.O. Box 749, 1699 Corp Av.",359-5421 Younghans Rd.,2287 Fire Street,Worcester,AZ,88806,6685,7/2/1960,5/27/2013,,Roberts.James.A@Storage.com,214237498,email,3180,Co Fernando,17,6/5/1966,29,Fee Driven,Builders,John,Fifth Ave.,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
101957,1,1,,Omar,P,Hogan,,Nevada Baking,Ap #872-2868 Distributors Rd.,"P.O. Box 643, 6930 Gen Road",931-5188 Issaquah St.,Seattle,NH,3524,9181,10/22/1978,7/15/2012,,Stephen@ArchitectsIncRecreation.net,214293735,email,37476,R O,2,1/28/1958,42,Low Income Depositor,Dennis,Americold,Fifth Ave.,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101958,1,1,,Holmes,N,Schroeder,III,K Jr,252-7654 L Rd.,460-6677 Friedman Road,Ap #495-5816 Thomas Rd.,Clackmannan,SC,60305,5382,4/20/2012,5/6/2013,,Personnel.Services@ConstructionProdSeawright.co.uk,214349972,email,147288,Cooper &,9,10/25/1988,91,Middle Market,Neighbor,Co,Fifth Ave.,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101959,1,1,Ms.,Tucker,M,Moran,,Gr Co,"P.O. Box 442, 2537 John Street","P.O. Box 674, 7167 D Road",8825 Union Rd.,Woerden,LA,39621,1490,6/2/2001,8/12/2012,,Surveys.Kahler@Thomas.org,214406209,email,127259,Graphics Inc,21,8/9/1966,86,Middle Income Depositor,Casebolt,L,Fifth Ave.,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
101960,1,1,Mr.,Trevor,Y,Delgado,Jr.,Bottling Howard,Ap #887-6816 Esq Av.,2511 Assocs Avenue,"P.O. Box 567, 7159 Richard Av.",Aylesbury,OR,6874,9344,9/7/1932,3/14/2012,,P.C@PaPowers.com,214462446,email,239411,Co Josel,42,11/28/2004,71,Upscale,C,Printers,Fifth Ave.,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101961,1,1,Mrs.,Axel,T,Lynch,II,One Stop,Ap #641-5016 Playman Street,Ap #548-6617 Computer St.,7668 Inc Ave,Maple Creek,WA,7760,181,4/19/1985,7/16/2012,,Karen.T@Glass&.org,214518683,email,9972,Inc Quality,3,10/26/1969,16,Fee Driven,Office,Mark,Fifth Ave.,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
101962,1,1,Mrs.,Rashad,L,Diaz,II,Dynamics Safety,"P.O. Box 697, 194 Inc Ave",Ap #204-6583 Cooper Ave,Ap #636-8040 Continental Avenue,Dalkeith,MD,6421,9309,2/3/2029,8/12/2012,,John.Duncan.Esq@IncInterwest.org,214574920,email,71901,Esq Safety,25,11/16/2009,22,Credit Driven,Woodland,Friese,Fifth Ave.,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,0,1,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101963,1,1,Ms.,Andrew,O,Richardson,,R &,"P.O. Box 450, 6476 M Rd.",Ap #142-9493 Escrow Avenue,"P.O. Box 521, 8051 Place Street",Llanidloes,ND,49804,3961,2/12/2011,12/5/2012,,Personal.Creations.Inc@IncMidwestWrecking.ca,214631157,email,111893,Art Ace,4,10/6/1962,31,Middle Market,Tim,Freight,Fifth Ave.,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101964,1,1,Mrs.,Noah,E,Cunningham,III,Frances Meyer,480-3454 Scale Avenue,Ap #344-6413 Burnette Ave,731-3778 Routing Avenue,Carlisle,TX,87152,5875,2/11/2006,3/22/2012,,Saint@Massotherapy.net,214687394,email,180098,R Esq,50,11/13/1999,29,Upscale,Veron,T,Fifth Ave.,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
101965,1,1,Ms.,Cain,T,Hall,Sr.,R Md,"P.O. Box 819, 2905 Cryogenic Road",Ap #380-3755 Snyder Road,4936 Services St.,Ajax,NH,88929,1327,11/19/2003,4/25/2013,,Hobbies@Assoc.com,214743631,email,195247,Center Martinique,15,11/15/2007,57,Upscale,Cpa,Glass,Fifth Ave.,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101966,1,1,Mr.,Ashton,N,Holcomb,II,Cola Dr,Ap #563-5050 Cpa Rd.,"P.O. Box 870, 4979 Public St.",6873 Inc Road,Lasne-Chapelle-Saint-Lambert,NM,38709,2761,10/19/1979,11/27/2011,,D.Friedman.Atlas@SeatingCoShapiro.com,214799868,email,7535,Esq Helm,37,5/24/1986,35,Fee Driven,Decker,John,Fifth Ave.,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101967,1,1,Miss,Zephania,C,Carver,Sr.,Esq Cooper,"P.O. Box 982, 7059 Hirt Street",8068 Letterguide St.,"P.O. Box 778, 8015 H Ave",New Quay,VT,10214,1148,6/21/2026,4/2/2012,,Essc.Inc@CookVetterDoerhoff.net,214856105,email,26016,Abrams Music,3,6/17/2009,64,Low Income Depositor,Co,Newood,Fifth Ave.,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101968,1,1,Ms.,Caesar,T,Gentry,II,Ryder Edward,Ap #511-6176 R Av.,Ap #239-8404 Technical St.,"P.O. Box 478, 192 Realtor Ave",Athens,MI,54941,9850,10/27/1978,5/22/2012,,Holiday.Inn@Local20.com,214912342,email,85415,Corp Norton,14,1/31/1965,24,Middle Market,Charles,Esq,Fifth Ave.,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101969,1,1,Mr.,Rashad,W,Stark,III,Bernard A,4525 Issaquah Street,Ap #526-7980 Music St.,"P.O. Box 458, 3624 Corporation Road",Lochgilphead,WA,13591,8370,1/20/2004,3/1/2012,,Gem@EsqAmericanProcessing.net,214968579,email,140569,Murtha Thomas,24,5/13/1957,22,Credit Driven,Iii,Advanced,Fifth Ave.,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
101970,1,1,Ms.,Avram,E,Newman,,B Esq,Ap #850-4703 Temple Rd.,Ap #397-7485 James Street,Ap #763-5261 Cpa St.,Tranent,CO,50134,5701,9/18/1971,8/20/2012,,Stat.Min@IncHighland.edu,215024816,email,105056,Municipalities Technical,36,1/10/1968,63,Credit Driven,Square,Hearthside,Fifth Ave.,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
101971,1,1,,Norman,W,Donaldson,Jr.,Rentals Inc,999 San Street,4397 Inc Road,4628 Constantino Street,Brecon,AZ,96474,9762,10/8/1961,5/4/2012,,Catv.Heil.John@HallmarkCardsChristiansen.com,215081053,email,82129,Inc Jacobs,16,3/30/2005,56,Credit Driven,Storage,Vickery,Fifth Ave.,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,
101972,1,1,Mrs.,Felix,H,Higgins,Jr.,Snyder Chevrolet,Ap #669-5712 E Road,"P.O. Box 235, 7481 C Rd.",1569 Record Road,Fort William,HI,59927,2770,1/1/2001,8/18/2011,,Gem.Tec@MassotherapyBeatty.com,215137290,email,130912,Men Christian,38,5/4/1952,43,Credit Driven,Esq,City,Fifth Ave.,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,
101973,1,1,Mrs.,Oren,Z,Kane,,Pc Midlen,"P.O. Box 724, 5630 Shop St.",306-9852 Sons Street,Ap #185-6039 Reagan St.,Grimsby,MO,55108,882,8/24/1998,4/24/2013,,Esq.Cox@Bickel.net,215193527,email,98852,Lunt Donald,28,2/14/1968,60,Credit Driven,David,Trailer,Fifth Ave.,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101974,1,1,,Lev,T,Rosales,III,Khoury Factory,5953 R Street,"P.O. Box 533, 5083 Bruce St.","P.O. Box 902, 1508 Doerhoff Ave",Bracknell,HI,8649,165,10/1/2005,4/17/2013,,Printing.Center@Ward.ca,215249764,email,83646,Vermont Surveys,9,8/3/1961,18,Middle Income Depositor,Super,Esq,Fifth Ave.,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
101975,1,1,Miss,Jasper,T,York,III,Elwood L,618-379 Inc Street,6212 Engineers Street,Ap #855-7902 Mars Avenue,Glendale,AL,76435,3343,10/6/1972,10/1/2012,,Robert.H.Esq@Tax.edu,215306001,email,162117,William B,49,6/15/2011,98,Upscale,Alexander,Amgen,Fifth Ave.,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
101976,1,1,,Camden,A,Hopper,,A Esq,"P.O. Box 363, 578 & Rd.",Ap #682-1208 Airlifter Rd.,"P.O. Box 646, 9175 Charles Road",Cardiff,OR,19931,5679,11/15/1987,9/7/2012,,John.F.Esq@OfAutomation.ca,215362238,email,185390,C Systems,13,7/13/1966,70,Upscale,Mall,L,Fifth Ave.,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,
101977,1,1,Mr.,Erich,N,Cameron,Jr.,Vickery Tape,Ap #263-6388 Inc Street,Ap #208-7770 Sons Road,249-771 River Street,North Charleston,ND,48827,4811,10/10/1967,4/27/2013,,Printers.Inc@Peat.net,215418475,email,39138,Engineering Inc,45,6/14/1973,58,Fee Driven,Of,Barco/chromatics,Fifth Ave.,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,
101978,1,1,,Kaseem,L,Fleming,II,Rentals Inc,"P.O. Box 639, 8951 And St.","P.O. Box 790, 3510 Murtha Avenue",686-7923 Transit Road,Blairgowrie,NH,39991,4565,6/24/2021,3/23/2012,,Historical.Society.Paul@EsqMcivorCarolyn.net,215474712,email,179748,Richards Edward,16,12/25/1955,15,Upscale,H,Inc,Fifth Ave.,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,
101979,1,1,Ms.,Warren,H,Merritt,II,Midwest Fire,"P.O. Box 976, 2442 Esq Rd.",Ap #562-1811 Inc St.,1128 Wegner St.,Aylesbury,MN,89616,7523,3/21/1956,11/11/2011,,United@CentralOfficeReed.edu,215530949,email,37951,Inc Holiday,28,12/15/1956,82,Low Income Depositor,Francis,Finkelstein,Fifth Ave.,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,
101980,1,1,Ms.,Levi,V,Lott,II,Mnrl Mus,3398 R Rd.,Ap #897-3800 Stock St.,"P.O. Box 135, 5860 Christian St.",Charlottetown,UT,90256,6171,10/4/1994,4/10/2013,,Wegner.Tim@Cowley&.edu,215587186,email,148201,Cutting Inc,25,12/18/1985,92,Middle Market,Letterguide,Supply,Fifth Ave.,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,
